"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","2.89","81518230","n/a","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","4.4999","40692595.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","7.97","40216620","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","23.38","568578220","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"FUBC","1st United Bancorp, Inc. (FL)","5.92","180968480","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fubc",
"TCHC","21st Century Holding Company","4.5108","35842816.8","n/a","1998","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tchc",
"VNET","21Vianet Group, Inc.","11.82","176709000","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","13.81","301168480","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","59.39","1680202490","n/a","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"EGHT","8x8 Inc","4.05","281620800","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","11.11","144152250","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","24.15","710130750","n/a","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AONE","A123 Systems, Inc.","0.9338","125449493.4","n/a","2009","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aone",
"AAON","AAON, Inc.","19.33","476310530","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ASTM","Aastrom Biosciences, Inc.","2.19","84610650","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"ABAX","ABAXIS, Inc.","27.72","601246800","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABMD","ABIOMED, Inc.","21.04","820433760","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","3.05","281252700","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","40.17","1993436250","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","15.02","482382320","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
