Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
IMO,Imperial Oil Limited,43,36464000000,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/imo,,$IMO
CEF,Central Fund of Canada Limited,20.57,4901481310,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cef,,$CEF
NGD,NEW GOLD INC.,9.58,4423086000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ngd,,$NGD
BTI,"British American Tobacco  Industries, p.l.c.",97.93,3811827320,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/bti,,$BTI
EGX,"Engex, Inc.",2.01,3270145380,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/egx,,$EGX
ANV,Allied Nevada Gold Corp,29.29,2633024550,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv,,$ANV
SEB,Seaboard Corporation,2094.85,2526389100,n/a,1996,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seb,,$SEB
LNG,"Cheniere Energy, Inc.",14.1,2191760400,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/lng,,$LNG
FAX,Aberdeen Asia-Pacific Income Fund Inc,7.52,1962539520,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax,,$FAX
EVV,Eaton Vance Limited Duration Income Fund,15.9,1865769600,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv,,$EVV
NG,Novagold Resources Inc New,5.99,1673845600,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ng,,$NG
VHC,VirnetX Holding Corp,32.3,1642874900,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/vhc,,$VHC
GORO,Gold Resource Corporation,27.02,1429682240,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro,,$GORO
GTE,Gran Tierra Energy Inc.,4.76,1268421000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gte,,$GTE
NOG,"Northern Oil and Gas, Inc.",17.61,1118393490,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nog,,$NOG
GGN,"GAMCO Global Gold, Natural Reources & Income Trust by Gabelli",13.68,1030596480,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn,,$GGN
PRK,Park National Corporation,64.99,1001235940,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/prk,,$PRK
EIM,Eaton Vance Municipal Bond Fund,13.13,894284300,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim,,$EIM
MCF,Contango Oil & Gas Company,56.67,870281190,n/a,1990,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mcf,,$MCF
