Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,,,,
XOM,Exxon Mobil Corporation,83.22,3.89137E+11,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/xom,,,,,$XOM
BAC^I,Bank of America Corporation,24.82,2.48994E+11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^i,,,,,$BAC
WMT,"Wal-Mart Stores, Inc.",67.75,2.30396E+11,n/a,1970,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/wmt,,,,,$WMT
IBM,International Business Machines Corporation,199.1,2.29659E+11,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm,,,,,$IBM
GE,General Electric Company,20,2.11906E+11,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/ge,,,,,$GE
T,AT&T Inc.,35.71,2.09368E+11,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/t,,,,,$T
CVX,Chevron Corporation,104.33,2.05862E+11,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cvx,,,,,$CVX
JNJ,Johnson & Johnson,66.01,1.81288E+11,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj,,,,,$JNJ
WFC,Wells Fargo & Company,32.45,1.72437E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc,,,,,$WFC
PG,Procter & Gamble Company (The),62.88,1.72298E+11,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/pg,,,,,$PG
KO,Coca-Cola Company (The),76.09,1.71655E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/ko,,,,,$KO
PFE,"Pfizer, Inc.",22.61,1.69307E+11,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pfe,,,,,$PFE
PM,Philip Morris International Inc,87.73,1.49629E+11,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/pm,,,,,$PM
JPM,J P Morgan Chase & Co,35.03,1.33348E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm,,,,,$JPM
VZ,Verizon Communications Inc.,43.55,1.23727E+11,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vz,,,,,$VZ
MRK,"Merck & Company, Inc.",38.94,1.18439E+11,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk,,,,,$MRK
BRK/A,Berkshire Hathaway Inc.,123375,1.14862E+11,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/brk/a,,,,,$BRK/A
PEP,"Pepsico, Inc.",69.48,1.08664E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/pep,,,,,$PEP
ABT,Abbott Laboratories,62.5,98336937500,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,,,,,$ABT
MCD,McDonald&#39;s Corporation,90.5,91966100000,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd,,,,,$MCD
BRK/B,Berkshire Hathaway Inc.,82.57,89206068330,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/brk/b,,,,,$BRK/B
SLB,Schlumberger N.V.,66.46,88627998840,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/slb,,,,,$SLB
BAC,Bank of America Corporation,7.9,85135858900,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac,,,,,$BAC
DIS,Walt Disney Company (The),47.09,84167017850,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/dis,,,,,$DIS
C,Citigroup Inc.,28.31,83009364670,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c,,,,,$C
HD,"Home Depot, Inc. (The)",51.87,79395437940,n/a,1981,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/hd,,,,,$HD
RY,Royal Bank Of Canada,50.2,72199146000,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/ry,,,,,$RY
COP,ConocoPhillips,55.46,70132331220,n/a,1985,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/cop,,,,,$COP
